value	old_description_da	new_description_da	description_en	translation_source
40585015	Teknisk, KVU (compound: 40585015)	Teknisk, tekstil- og beklædning, KVU	Technical, textiles and clothing, KVU	fable-5
15204010	Introducerende og erhvervsrettede forløb (compound: 15204010)	Særlige ungdomsuddannelser	Special youth education programmes	fable-5
30202510	Fødevarer mv. (FJO) (compound: 30202510)	Mejeriuddannelse	Dairy programme	fable-5
30501515	Teknologiområdet, cykel-, auto- og skibsmekanik mv. (TBT) (compound: 30501515)	Person- og lastvognsmekaniker	Car and truck mechanic	fable-5
30251525	Jordbrug og natur (FJO) (compound: 30251525)	Gartner efteruddannelse	Gardener continuing education	fable-5
40241510	Medier og kommunikation, KVU (compound: 40241510)	Multimediedesign, KVU	Multimedia design, KVU	fable-5
60593010	Teknisk videnskab, BACH (compound: 60593010)	Tele-, data- og it-teknologi mv., BACH	Tele, data and IT technology etc., BACH	fable-5
70252210	Humanistisk og teologisk, LVU (compound: 70252210)	Historie, LVU	History, LVU	fable-5
70253010	Humanistisk og teologisk, LVU (compound: 70253010)	Kommunikation og formidling, LVU	Communication and dissemination, LVU	fable-5
60804510	Jordbrug, natur og miljø, BACH (compound: 60804510)	Landskabsarkitektur og -forvaltning, BACH	Landscape architecture and management, BACH	fable-5
40585010	Teknisk, KVU (compound: 40585010)	Designteknolog, KVU	Design technologist, KVU	fable-5
50859510	Maritimt, MVU (compound: 50859510)	Maritime uddannelser i øvrigt, MVU	Other maritime programmes, MVU	fable-5
40851510	Maritimt, KVU (compound: 40851510)	Skibsførere, KVU	Ship masters, KVU	fable-5
70255010	Humanistisk og teologisk, LVU (compound: 70255010)	Lingvistik, LVU	Linguistics, LVU	fable-5
29201015	Fødevarer, jordbrug og oplevelser (FJO), grundforløb (compound: 29201015)	Mad til mennesker, grundforløb	Food for people, basic course	fable-5
60353715	Naturvidenskab, BACH (compound: 60353715)	Kulturgeografi, BACH	Cultural geography, BACH	fable-5
60251710	Humanistisk og teologisk, BACH (compound: 60251710)	Etnologi, BACH	Ethnology, BACH	fable-5
70256310	Humanistisk og teologisk, LVU (compound: 70256310)	Østasiatiske sprog uden nærmere angivelse, LVU	East Asian languages, not further specified, LVU	fable-5
30252010	Jordbrug og natur (FJO) (compound: 30252010)	Greenkeeper og groundman	Greenkeeper and groundsman	fable-5
70353025	Naturvidenskab, LVU (compound: 70353025)	Fysiske fag i øvrigt, LVU	Other physical sciences, LVU	fable-5
70251010	Humanistisk og teologisk, LVU (compound: 70251010)	Humanistisk uden nærmere angivelse, LVU	Humanities, not further specified, LVU	fable-5
40306555	Kunstnerisk, KVU (compound: 40306555)	Musikuddannelser i øvrigt, KVU	Other music programmes, KVU	fable-5
70255730	Humanistisk og teologisk, LVU (compound: 70255730)	Spansk, LVU	Spanish, LVU	fable-5
70252610	Humanistisk og teologisk, LVU (compound: 70252610)	Kunsthistorie, LVU	Art history, LVU	fable-5
30353510	Byggeriområdet (TBT) (compound: 30353510)	Snedker mv.	Joiner etc.	fable-5
70902010	Sundhedsvidenskab, LVU (compound: 70902010)	Fysioterapi, LVU	Physiotherapy, LVU	fable-5
60256010	Humanistisk og teologisk, BACH (compound: 60256010)	Slavisk, østeuropa og balkan uden nærmere angivelse, BACH	Slavic, Eastern Europe and Balkans, not further specified, BACH	fable-5
40582010	Teknisk, KVU (compound: 40582010)	Tele-, data- og it-teknologi mv., KVU	Tele, data and IT technology etc., KVU	fable-5
50383010	Samfundsfaglig, Økonomisk-Merkantil, MVU (compound: 50383010)	Fritid, kultur og sport mv., MVU	Leisure, culture and sports etc., MVU	fable-5
30453510	Teknologiområdet, grafisk teknik og medieproduktion (TBT) (compound: 30453510)	Skiltetekniker	Skilte technician	reused-master
70595010	Teknisk videnskab, LVU (compound: 70595010)	Maskinteknik og maskinkonstruktion, LVU	Mechanical engineering and machine design, LVU	fable-5
50894525	Sundhedsfaglig, MVU (compound: 50894525)	Psykomotorik og afspænding mv., MVU	Psychomotor therapy and relaxation etc., MVU	fable-5
70302010	Kunstnerisk, LVU (compound: 70302010)	Bildende kunst, LVU	Visual arts, LVU	fable-5
70253710	Humanistisk og teologisk, LVU (compound: 70253710)	Digital design og interaktionsdesign, LVU	Digital design and interaction design, LVU	fable-5
60356035	Naturvidenskab, BACH (compound: 60356035)	Medialogi, BACH	Medialogy, BACH	fable-5
70599515	Teknisk videnskab, LVU (compound: 70599515)	Teknologi og forretningsudvikling, LVU	Technology and business development, LVU	fable-5
50381510	Samfundsfaglig, Økonomisk-Merkantil, MVU (compound: 50381510)	Administration mv., MVU	Administration etc., MVU	fable-5
60355020	Naturvidenskab, BACH (compound: 60355020)	Forsikringsvidenskab, BACH	Actuarial science, BACH	fable-5
50585020	Teknisk, MVU (compound: 50585020)	Teknisk, produktion og produktudvikling i øvrigt, MVU	Other technical, production and product development, MVU	fable-5
60356010	Naturvidenskab, BACH (compound: 60356010)	Datalogi og datahåndtering, BACH	Computer science and data management, BACH	fable-5
40244010	Medier og kommunikation, KVU (compound: 40244010)	Medier og kommunikation i øvrigt, KVU	Other media and communication, KVU	fable-5
70251710	Humanistisk og teologisk, LVU (compound: 70251710)	Etnologi, LVU	Ethnology, LVU	fable-5
60252610	Humanistisk og teologisk, BACH (compound: 60252610)	Kunsthistorie, BACH	Art history, BACH	fable-5
70256010	Humanistisk og teologisk, LVU (compound: 70256010)	Slavisk, østeuropa og balkan uden nærmere angivelse, LVU	Slavic, Eastern Europe and Balkans, not further specified, LVU	fable-5
50243010	Medier og kommunikation, MVU (compound: 50243010)	Fotojournalist, MVU	Photojournalist, MVU	fable-5
60252620	Humanistisk og teologisk, BACH (compound: 60252620)	Dramaturgi og teatervidenskab, BACH	Dramaturgy and theatre studies, BACH	fable-5
50303510	Kunstnerisk, MVU (compound: 50303510)	Teaterteknik, MVU	Theatre technology, MVU	fable-5
30252510	Jordbrug og natur (FJO) (compound: 30252510)	Skov- og naturtekniker	Forestry and Nature Technicians	reused-master
50584510	Teknisk, MVU (compound: 50584510)	Teknik-naturvidenskab, kombineret, MVU	Technology-natural science, combined, MVU	fable-5
35101020	Gymnasial supplering (compound: 35101020)	Gymnasial indslusning for flygtninge GIF	Educational Integration Program for Refugees GIF	reused-master
60354010	Naturvidenskab, BACH (compound: 60354010)	Geologi, BACH	Geology, BACH	fable-5
70354710	Naturvidenskab, LVU (compound: 70354710)	Kemi, LVU	Chemistry, LVU	fable-5
50243510	Medier og kommunikation, MVU (compound: 50243510)	Tegnsprogstolk, MVU	Sign language interpreter, MVU	fable-5
30154010	Kontor, handel og forretningsservice (KHF) (compound: 30154010)	Sundhedsservicesekretær	Health Service Secretary	reused-master
50305010	Kunstnerisk, MVU (compound: 50305010)	Designuddannelser uden nærmere angivelse, MVU	Design programmes, not further specified, MVU	fable-5
70253510	Humanistisk og teologisk, LVU (compound: 70253510)	Informationsvidenskab mv., LVU	Information science etc., LVU	fable-5
40381510	Samfundsfaglig, Økonomisk-Merkantil, KVU (compound: 40381510)	Administrationsøkonom mv., KVU	Administrative economist etc., KVU	fable-5
30251526	Jordbrug og natur (FJO) (compound: 30251526)	Gartnerassistent	Gardener assistant [completed qualification]	reused-master
50391510	Samfundsvidenskab, MVU (compound: 50391510)	Administration, forvaltning og ledelse, MVU	Administration, public governance and management, MVU	fable-5
60251205	Humanistisk og teologisk, BACH (compound: 60251205)	Arkæologi, BACH	Archaeology, BACH	fable-5
60351510	Naturvidenskab, BACH (compound: 60351510)	Biokemi og molekylær biologi, BACH	Biochemistry and molecular biology, BACH	fable-5
70903010	Sundhedsvidenskab, LVU (compound: 70903010)	Folkesundhedsvidenskab, LVU	Public health science, LVU	fable-5
60255730	Humanistisk og teologisk, BACH (compound: 60255730)	Spansk, BACH	Spanish, BACH	fable-5
70392510	Samfundsvidenskab, LVU (compound: 70392510)	Globalisering og internationale samfundsstudier, LVU	Globalisation and international social studies, LVU	fable-5
60255710	Humanistisk og teologisk, BACH (compound: 60255710)	Fransk, BACH	French, BACH	fable-5
30355010	Byggeriområdet (TBT) (compound: 30355010)	Tagdækker	Roofing	reused-master
30355520	Byggeriområdet (TBT) (compound: 30355520)	Skorstensfejer og kedelanlægstekniker	Chimney sweep and boiler plant technician	fable-5
50892010	Sundhedsfaglig, MVU (compound: 50892010)	Jordemoder, MVU	Midwife, MVU	fable-5
30452510	Teknologiområdet, grafisk teknik og medieproduktion (TBT) (compound: 30452510)	Digital media	Digital media	fable-5
70593015	Teknisk videnskab, LVU (compound: 70593015)	Teknisk videnskabelige it-uddannelser, LVU	Engineering science IT programmes, LVU	fable-5
70394525	Samfundsvidenskab, LVU (compound: 70394525)	Sociologiske uddannelser i øvrigt, LVU	Other sociological programmes, LVU	fable-5
70353020	Naturvidenskab, LVU (compound: 70353020)	Geofysik, LVU	Geophysics, LVU	fable-5
70252010	Humanistisk og teologisk, LVU (compound: 70252010)	Filosofi, LVU	Philosophy, LVU	fable-5
60255515	Humanistisk og teologisk, BACH (compound: 60255515)	Arabisk, BACH	Arabic, BACH	fable-5
70353015	Naturvidenskab, LVU (compound: 70353015)	Fysik, LVU	Physics, LVU	fable-5
50244010	Medier og kommunikation, MVU (compound: 50244010)	Medier og kommunikation i øvrigt, MVU	Other media and communication, MVU	fable-5
70351510	Naturvidenskab, LVU (compound: 70351510)	Biokemi og molekylær biologi, LVU	Biochemistry and molecular biology, LVU	fable-5
60252615	Humanistisk og teologisk, BACH (compound: 60252615)	Film og medievidenskab, BACH	Film and media studies, BACH	fable-5
29201020	Fødevarer, jordbrug og oplevelser (FJO), grundforløb (compound: 29201020)	Dyr, planter og natur, grundforløb	Animals, plants and nature, basic course	fable-5
50802015	Jordbrug, natur og miljø, MVU (compound: 50802015)	Jordbrugsøkonomi, MVU	Agricultural economics, MVU	fable-5
30652010	Transport og logistikområdet (TBT) (compound: 30652010)	Lufthavnsuddannelser	Lufthavns programmes	reused-master
29151510	Kontor, handel og forretningsservice (KHF), grundforløb (compound: 29151510)	Bygnings- og brugerservice, grundforløb	Building and user services, basic course	fable-5
30553515	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30553515)	Guld- og sølvsmedeuddannelsen	Gold and Silversmithing Education	reused-master
40242010	Medier og kommunikation, KVU (compound: 40242010)	Grafisk design og kommunikation, KVU	Graphic design and communication, KVU	fable-5
60397010	Samfundsvidenskab, BACH (compound: 60397010)	Erhvervsøkonomi-erhvervssprog mv., negot., BACH	Business economics and business language etc., negot., BACH	fable-5
60255010	Humanistisk og teologisk, BACH (compound: 60255010)	Lingvistik, BACH	Linguistics, BACH	fable-5
29251025	Teknologi, byggeri og transport (TBT), grundforløb (compound: 29251025)	Medieproduktion, grundforløb	Media production, basic course	fable-5
60258910	Humanistisk og teologisk, BACH (compound: 60258910)	Erhvervssprog, kombineret uden nærmere angivelse, BACH	Business language, combined, not further specified, BACH	fable-5
70356015	Naturvidenskab, LVU (compound: 70356015)	Softwareudvikling, LVU	Software development, LVU	fable-5
50893010	Sundhedsfaglig, MVU (compound: 50893010)	Radiograf, MVU	Radiographer, MVU	fable-5
60597010	Teknisk videnskab, BACH (compound: 60597010)	Teknologi, produktion og produktudvikling, BACH	Technology, production and product development, BACH	fable-5
70597010	Teknisk videnskab, LVU (compound: 70597010)	Teknologi, produktion og produktudvikling, LVU	Technology, production and product development, LVU	fable-5
30253010	Jordbrug og natur (FJO) (compound: 30253010)	Dyrepasser	Animal caretaker	reused-master
60356025	Naturvidenskab, BACH (compound: 60356025)	Digitale medier og design, BACH	Digital media and design, BACH	fable-5
70593510	Teknisk videnskab, LVU (compound: 70593510)	Elektronik i øvrigt, LVU	Other electronics, LVU	fable-5
60353010	Naturvidenskab, BACH (compound: 60353010)	Astronomi, BACH	Astronomy, BACH	fable-5
50242010	Medier og kommunikation, MVU (compound: 50242010)	Grafisk design og kommunikation, MVU	Graphic design and communication, MVU	fable-5
50952515	Politi og forsvar mv., MVU (compound: 50952515)	Officer i flyvevåbnet, MVU	Officer in the air force, MVU	fable-5
70591520	Teknisk videnskab, LVU (compound: 70591520)	Kemisk og biokemisk teknologi, LVU	Chemical and biochemical technology, LVU	fable-5
20301010	Internationale gymnasiale uddannelser (compound: 20301010)	Pre International Baccalaureate	Pre International Baccalaureate	fable-5
20302020	Internationale gymnasiale uddannelser (compound: 20302020)	International Baccalaureate	International Baccalaureate	fable-5
30302510	Oplevelsesområdet (FJO) (compound: 30302510)	Kosmetikeruddannelser	Kosmetiker programmes	reused-master
70804010	Jordbrug, natur og miljø, LVU (compound: 70804010)	Jordbrug, fødevarer og miljø kombineret, LVU	Agriculture, food and environment combined, LVU	fable-5
60256220	Humanistisk og teologisk, BACH (compound: 60256220)	Thai, BACH	Thai, BACH	fable-5
70203015	Pædagogisk, LVU (compound: 70203015)	Didaktik og undervisningsteori, LVU	Didactics and teaching theory, LVU	fable-5
60592010	Teknisk videnskab, BACH (compound: 60592010)	Nanoteknologi og nanobioteknologi, BACH	Nanotechnology and nanobiotechnology, BACH	fable-5
30654010	Transport og logistikområdet (TBT) (compound: 30654010)	Transport- og logistik i øvrigt	Other transport and logistics	fable-5
60805090	Jordbrug, natur og miljø, BACH (compound: 60805090)	Naturressourcer og miljø i øvrigt, BACH	Other natural resources and environment, BACH	fable-5
29251010	Teknologi, byggeri og transport (TBT), grundforløb (compound: 29251010)	Bil, fly og andre transportmidler, grundforløb	Cars, aircraft and other means of transport, basic course	fable-5
40583510	Teknisk, KVU (compound: 40583510)	Miljøteknisk, KVU	Environmental engineering, KVU	fable-5
50382510	Samfundsfaglig, Økonomisk-Merkantil, MVU (compound: 50382510)	Handel og markedsføring mv., MVU	Trade and marketing etc., MVU	fable-5
60759510	Fødevarer, Bio- og laboratorieteknik, BACH (compound: 60759510)	Fødevare- og ernæringsvidenskab i øvrigt, BACH	Other food and nutrition science, BACH	fable-5
70752510	Fødevarer, Bio- og laboratorieteknik, LVU (compound: 70752510)	Fødevarevidenskab, LVU	Food science, LVU	fable-5
30601020	Teknik- og industriuddannelser i øvrigt (TBT) (compound: 30601020)	Pottemager	Potter	reused-master
60306540	Kunstnerisk, BACH (compound: 60306540)	Musik og musikpædagogik, BACH	Music and music pedagogy, BACH	fable-5
70306555	Kunstnerisk, LVU (compound: 70306555)	Musikuddannelser i øvrigt, LVU	Other music programmes, LVU	fable-5
50852015	Maritimt, MVU (compound: 50852015)	Juniorofficerer, MVU	Junior officers, MVU	fable-5
50751510	Fødevarer, Bio- og laboratorieteknik, MVU (compound: 50751510)	Laboratorie-, fødevare- og procesteknologi, MVU	Laboratory, food and process technology, MVU	fable-5
40582510	Teknisk, KVU (compound: 40582510)	Energi- og stærkstrømsteknisk, KVU	Energy and high-voltage engineering, KVU	fable-5
70354510	Naturvidenskab, LVU (compound: 70354510)	Idræt, LVU	Sports science, LVU	fable-5
60591010	Teknisk videnskab, BACH (compound: 60591010)	Teknisk videnskab uden nærmere angivelse, BACH	Engineering science, not further specified, BACH	fable-5
70591510	Teknisk videnskab, LVU (compound: 70591510)	Bioteknologi, LVU	Biotechnology, LVU	fable-5
70392010	Samfundsvidenskab, LVU (compound: 70392010)	Antropologi, LVU	Anthropology, LVU	fable-5
29251055	Teknologi, byggeri og transport (TBT), grundforløb (compound: 29251055)	Transport og logistik, grundforløb	Transport and logistics, basic course	fable-5
60258915	Humanistisk og teologisk, BACH (compound: 60258915)	Erhvervssprog og europæiske studier, BACH	Business language and European studies, BACH	fable-5
60902510	Sundhedsvidenskab, BACH (compound: 60902510)	Farmaci og lægemiddelvidenskab, BACH	Pharmacy and pharmaceutical sciences, BACH	fable-5
30452515	Teknologiområdet, grafisk teknik og medieproduktion (TBT) (compound: 30452515)	Web-integrator	Web integrator	fable-5
60203010	Pædagogisk, BACH (compound: 60203010)	Audiologopædi, BACH	Speech and hearing therapy (audiologopedics), BACH	fable-5
30501535	Teknologiområdet, cykel-, auto- og skibsmekanik mv. (TBT) (compound: 30501535)	Skibsmekaniker	Skibs mechanic	reused-master
60257025	Humanistisk og teologisk, BACH (compound: 60257025)	Klassisk filologi, BACH	Classical philology, BACH	fable-5
50852020	Maritimt, MVU (compound: 50852020)	Seniorofficerer, MVU	Senior officers, MVU	fable-5
30901010	Andre erhvervsfaglige uddannelser (compound: 30901010)	Erhvervsfiskeri mv.	Commercial fishing etc.	fable-5
60252510	Humanistisk og teologisk, BACH (compound: 60252510)	Idehistorie, BACH	History of ideas, BACH	fable-5
60591510	Teknisk videnskab, BACH (compound: 60591510)	Bioteknologi, BACH	Biotechnology, BACH	fable-5
60306555	Kunstnerisk, BACH (compound: 60306555)	Musikuddannelser i øvrigt, BACH	Other music programmes, BACH	fable-5
60595010	Teknisk videnskab, BACH (compound: 60595010)	Maskinteknik og maskinkonstruktion, BACH	Mechanical engineering and machine design, BACH	fable-5
30404020	Teknologiområdet, strøm og elektronik mv. (TBT) (compound: 30404020)	Teater-, udstillings- og eventteknik	Theatre, exhibition and event technology	fable-5
70259520	Humanistisk og teologisk, LVU (compound: 70259520)	Kulturteori og kulturanalyse, LVU	Cultural theory and cultural analysis, LVU	fable-5
50894520	Sundhedsfaglig, MVU (compound: 50894520)	Optometrist, MVU	Optometrist, MVU	fable-5
60255715	Humanistisk og teologisk, BACH (compound: 60255715)	Italiensk, BACH	Italian, BACH	fable-5
70904010	Sundhedsvidenskab, LVU (compound: 70904010)	Jordemodervidenskab, LVU	Midwifery science, LVU	fable-5
70254010	Humanistisk og teologisk, LVU (compound: 70254010)	Oplevelses-design, LVU	Experience design, LVU	fable-5
60256325	Humanistisk og teologisk, BACH (compound: 60256325)	Koreastudier, BACH	Korea studies, BACH	fable-5
40383510	Samfundsfaglig, Økonomisk-Merkantil, KVU (compound: 40383510)	Transport- og logistikøkonom mv., KVU	Transport and logistics economist etc., KVU	fable-5
70599530	Teknisk videnskab, LVU (compound: 70599530)	Teknisk videnskab i øvrigt, LVU	Other engineering science, LVU	fable-5
30151010	Kontor, handel og forretningsservice (KHF) (compound: 30151010)	Merkantile uddannelser uden nærmere angivelse	Mercantile programmes, not further specified	fable-5
60803010	Jordbrug, natur og miljø, BACH (compound: 60803010)	Veterinærmedicin, BACH	Veterinary medicine, BACH	fable-5
60752510	Fødevarer, Bio- og laboratorieteknik, BACH (compound: 60752510)	Fødevarevidenskab, BACH	Food science, BACH	fable-5
70759510	Fødevarer, Bio- og laboratorieteknik, LVU (compound: 70759510)	Fødevare- og ernæringsvidenskab i øvrigt, LVU	Other food and nutrition science, LVU	fable-5
60352510	Naturvidenskab, BACH (compound: 60352510)	Nanoscience og nanobioscience, BACH	Nanoscience and nanobioscience, BACH	fable-5
50382010	Samfundsfaglig, Økonomisk-Merkantil, MVU (compound: 50382010)	Finans mv., MVU	Finance etc., MVU	fable-5
30556015	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30556015)	Skibsmontør	Ship mechanic	reused-master
70352020	Naturvidenskab, LVU (compound: 70352020)	Medicinalbiologi, LVU	Medical biology, LVU	fable-5
40894590	Sundhedsfaglig, KVU (compound: 40894590)	Sundhedsfaglige uddannelser i øvrigt, KVU	Other health programmes, KVU	fable-5
60254210	Humanistisk og teologisk, BACH (compound: 60254210)	Musikterapi, BACH	Music therapy, BACH	fable-5
70254210	Humanistisk og teologisk, LVU (compound: 70254210)	Musikterapi, LVU	Music therapy, LVU	fable-5
30355535	Byggeriområdet (TBT) (compound: 30355535)	Teknisk isolatør	Technical insulator	reused-master
30553010	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30553010)	Køletekniker	Refrigeration technician	reused-master
60252010	Humanistisk og teologisk, BACH (compound: 60252010)	Filosofi, BACH	Philosophy, BACH	fable-5
60596015	Teknisk videnskab, BACH (compound: 60596015)	Velfærdsteknologi, BACH	Welfare technology, BACH	fable-5
70596015	Teknisk videnskab, LVU (compound: 70596015)	Velfærdsteknologi, LVU	Welfare technology, LVU	fable-5
70253015	Humanistisk og teologisk, LVU (compound: 70253015)	Kultur og sprogmøde, LVU	Culture and language encounters, LVU	fable-5
20103010	Alment gymnasiale uddannelser (compound: 20103010)	Studenterkursus uden linieopdeling	Studenterkursus without streaming	fable-5
30652510	Transport og logistikområdet (TBT) (compound: 30652510)	Togklargøringsuddannelser	Train preparation programmes	fable-5
20101010	Alment gymnasiale uddannelser (compound: 20101010)	Stx	STX (general upper-secondary school)	reused-master
30355525	Byggeriområdet (TBT) (compound: 30355525)	Stenhugger	Stonemason [completed qualification]	reused-master
60356020	Naturvidenskab, BACH (compound: 60356020)	Informatik, BACH	Informatics, BACH	fable-5
50303015	Kunstnerisk, MVU (compound: 50303015)	Animationsuddannelse, MVU	Animation programme, MVU	fable-5
60592510	Teknisk videnskab, BACH (compound: 60592510)	Bygnings- og anlægsteknik, BACH	Building and civil engineering, BACH	fable-5
30252515	Jordbrug og natur (FJO) (compound: 30252515)	Herregårdsskytte	Manor Shooting	reused-master
60256510	Humanistisk og teologisk, BACH (compound: 60256510)	Engelsk, BACH	English, BACH	fable-5
70901510	Sundhedsvidenskab, LVU (compound: 70901510)	Ergoterapi, LVU	Occupational therapy, LVU	fable-5
50584010	Teknisk, MVU (compound: 50584010)	Sundheds- og omsorgsteknologi, MVU	Health and care technology, MVU	fable-5
60596510	Teknisk videnskab, BACH (compound: 60596510)	Teknologi-naturvidenskab, kombineret, BACH	Technology-natural science, combined, BACH	fable-5
29201025	Fødevarer, jordbrug og oplevelser (FJO), grundforløb (compound: 29201025)	Krop og stil, grundforløb	Body and style, basic course	fable-5
30301510	Oplevelsesområdet (FJO) (compound: 30301510)	Fitnessinstruktør	Fitness instructor [completed qualification]	reused-master
30301010	Oplevelsesområdet (FJO) (compound: 30301010)	Eventkoordinator	Event coordinator	reused-master
70909525	Sundhedsvidenskab, LVU (compound: 70909525)	Sundhedsvidenskab i øvrigt, LVU	Other health science, LVU	fable-5
30355515	Byggeriområdet (TBT) (compound: 30355515)	Byggemontagetekniker	Byggemontage technician	reused-master
50894590	Sundhedsfaglig, MVU (compound: 50894590)	Sundhedsfaglige uddannelser i øvrigt, MVU	Other health programmes, MVU	fable-5
60593015	Teknisk videnskab, BACH (compound: 60593015)	Teknisk videnskabelige it-uddannelser, BACH	Engineering science IT programmes, BACH	fable-5
70355020	Naturvidenskab, LVU (compound: 70355020)	Forsikringsvidenskab, LVU	Actuarial science, LVU	fable-5
70353010	Naturvidenskab, LVU (compound: 70353010)	Astronomi, LVU	Astronomy, LVU	fable-5
60802015	Jordbrug, natur og miljø, BACH (compound: 60802015)	Jordbrugsøkonomi, BACH	Agricultural economics, BACH	fable-5
60351710	Naturvidenskab, BACH (compound: 60351710)	Biologi, BACH	Biology, BACH	fable-5
70395510	Samfundsvidenskab, LVU (compound: 70395510)	Erhvervsøkonomi uden nærmere angivelse, LVU	Business economics, not further specified, LVU	fable-5
60258920	Humanistisk og teologisk, BACH (compound: 60258920)	Sprog og virksomhedskommunikation, BACH	Language and corporate communication, BACH	fable-5
70203010	Pædagogisk, LVU (compound: 70203010)	Audiologopædi, LVU	Speech and hearing therapy (audiologopedics), LVU	fable-5
30156510	Kontor, handel og forretningsservice (KHF) (compound: 30156510)	Sikkerhedsvagt	Security guard	reused-master
60352210	Naturvidenskab, BACH (compound: 60352210)	Medicinalkemi mv., BACH	Medicinal chemistry etc., BACH	fable-5
60802510	Jordbrug, natur og miljø, BACH (compound: 60802510)	Husdyrvidenskab, BACH	Animal science, BACH	fable-5
70394520	Samfundsvidenskab, LVU (compound: 70394520)	Socialt entrepreneurskab mv., LVU	Social entrepreneurship etc., LVU	fable-5
70359520	Naturvidenskab, LVU (compound: 70359520)	Naturvidenskab i øvrigt, LVU	Other natural sciences, LVU	fable-5
70594010	Teknisk videnskab, LVU (compound: 70594010)	Vindenergi, LVU	Wind energy, LVU	fable-5
30552510	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30552510)	Vindmølleoperatør	Wind turbine operator	fable-5
60591515	Teknisk videnskab, BACH (compound: 60591515)	Kemi og bioteknologi, BACH	Chemistry and biotechnology, BACH	fable-5
70591515	Teknisk videnskab, LVU (compound: 70591515)	Kemi og bioteknologi, LVU	Chemistry and biotechnology, LVU	fable-5
50852010	Maritimt, MVU (compound: 50852010)	Skibsofficerer uden nærmere angivelse, MVU	Ship officers, not further specified, MVU	fable-5
70352015	Naturvidenskab, LVU (compound: 70352015)	Biomedicn og molekylær biomedicin, LVU	Biomedicine and molecular biomedicine, LVU	fable-5
70258920	Humanistisk og teologisk, LVU (compound: 70258920)	Sprog og virksomhedskommunikation, LVU	Language and corporate communication, LVU	fable-5
60596010	Teknisk videnskab, BACH (compound: 60596010)	Sundhedsteknologi, BACH	Health technology, BACH	fable-5
70259525	Humanistisk og teologisk, LVU (compound: 70259525)	Humanistiske uddannelser i øvrigt, LVU	Other humanities programmes, LVU	fable-5
70352210	Naturvidenskab, LVU (compound: 70352210)	Medicinalkemi mv., LVU	Medicinal chemistry etc., LVU	fable-5
60356015	Naturvidenskab, BACH (compound: 60356015)	Softwareudvikling, BACH	Software development, BACH	fable-5
30902510	Andre erhvervsfaglige uddannelser (compound: 30902510)	Øvrige erhvervsfaglige uddannelser	Other vocational programmes	fable-5
70596020	Teknisk videnskab, LVU (compound: 70596020)	Medicin og teknologi, LVU	Medicine and technology, LVU	fable-5
70592515	Teknisk videnskab, LVU (compound: 70592515)	Byudvikling og byplanlægning mv., LVU	Urban development and town planning etc., LVU	fable-5
60356040	Naturvidenskab, BACH (compound: 60356040)	Naturvidenskabelige it-uddannelser i øvrigt, BACH	Other natural science IT programmes, BACH	fable-5
70393515	Samfundsvidenskab, LVU (compound: 70393515)	Politologiske uddannelser i øvrigt, LVU	Other political science programmes, LVU	fable-5
70802510	Jordbrug, natur og miljø, LVU (compound: 70802510)	Husdyrvidenskab, LVU	Animal science, LVU	fable-5
70596510	Teknisk videnskab, LVU (compound: 70596510)	Teknologi-naturvidenskab, kombineret, LVU	Technology-natural science, combined, LVU	fable-5
60251225	Humanistisk og teologisk, BACH (compound: 60251225)	Arkæologi, nærorientalsk, BACH	Archaeology, Near Eastern, BACH	fable-5
60306515	Kunstnerisk, BACH (compound: 60306515)	Lydteknik, musik, BACH	Sound engineering, music, BACH	fable-5
20203011	Erhvervsrettede gymnasiale uddannelser (compound: 20203011)	Hhx 3-årig, 1. år	HHX three-year, 1st year	fable-5
60257530	Humanistisk og teologisk, BACH (compound: 60257530)	Sprog - international politik og historie, BACH	Language - international politics and history, BACH	fable-5
50589520	Teknisk, MVU (compound: 50589520)	Transportteknisk, MVU	Transport engineering, MVU	fable-5
60909510	Sundhedsvidenskab, BACH (compound: 60909510)	Kiropraktor, BACH	Chiropractor, BACH	fable-5
70909510	Sundhedsvidenskab, LVU (compound: 70909510)	Kiropraktor, LVU	Chiropractor, LVU	fable-5
60394525	Samfundsvidenskab, BACH (compound: 60394525)	Sociologiske uddannelser i øvrigt, BACH	Other sociological programmes, BACH	fable-5
60393515	Samfundsvidenskab, BACH (compound: 60393515)	Politologiske uddannelser i øvrigt, BACH	Other political science programmes, BACH	fable-5
10101020	Grundskole til og med 6. klasse (compound: 10101020)	Grundskole til og med 6. årgang	Primary school up to grade 6	fable-5
60391510	Samfundsvidenskab, BACH (compound: 60391510)	Administration, forvaltning og ledelse, BACH	Administration, public governance and management, BACH	fable-5
60253215	Humanistisk og teologisk, BACH (compound: 60253215)	Retorik, BACH	Rhetoric, BACH	fable-5
60306510	Kunstnerisk, BACH (compound: 60306510)	Music management, BACH	Music management, BACH	fable-5
50851510	Maritimt, MVU (compound: 50851510)	Skibsførere, MVU	Ship masters, MVU	fable-5
50303025	Kunstnerisk, MVU (compound: 50303025)	Filmklipper, MVU	Film editor, MVU	fable-5
